"onspostcodenospaces","X","Y","objectid","pcd2","hospcode","hospname","postcode","obs1url","ind1url","mortalityvalue","obs2url","ind2url","recommendvalue"
"B912JL",-1.77435822442313,52.4171379428757,103608,"B91  2JL","http://nhs.publishmydata.com/id/organisation/nacs/RR109","Solihull Hospital","B91 2JL","http://nhs.publishmydata.com/data/metric/96/year/2016/RR109","http://nhs.publishmydata.com/data/metric/96",0.9759,"http://nhs.publishmydata.com/data/metric/182/year/2016/RR109","http://nhs.publishmydata.com/data/metric/182",55
"B95SS",-1.82996032781521,52.4802325270148,101505,"B9   5SS","http://nhs.publishmydata.com/id/organisation/nacs/RR101","Heartlands Hospital","B9 5SS","http://nhs.publishmydata.com/data/metric/96/year/2016/RR101","http://nhs.publishmydata.com/data/metric/96",0.9759,"http://nhs.publishmydata.com/data/metric/182/year/2016/RR101","http://nhs.publishmydata.com/data/metric/182",55
"B987UB",-1.91211865849064,52.2797882426445,109099,"B98  7UB","http://nhs.publishmydata.com/id/organisation/nacs/RWP01","Alexandra Hospital","B98 7UB","http://nhs.publishmydata.com/data/metric/96/year/2016/RWP01","http://nhs.publishmydata.com/data/metric/96",1.1257,"http://nhs.publishmydata.com/data/metric/182/year/2016/RWP01","http://nhs.publishmydata.com/data/metric/182",56
"BA11RL",-2.36143476965355,51.3822535191339,110225,"BA1  1RL","http://nhs.publishmydata.com/id/organisation/nacs/RD115","Royal National Mineral Hospital For Rheumatic Diseases NHS Foundation Trust","BA1 1RL","http://nhs.publishmydata.com/data/metric/96/year/2016/RD115","http://nhs.publishmydata.com/data/metric/96",0.9741,"http://nhs.publishmydata.com/data/metric/182/year/2016/RD115","http://nhs.publishmydata.com/data/metric/182",75
"BA11RL",-2.36143476965355,51.3822535191339,110225,"BA1  1RL","http://nhs.publishmydata.com/id/organisation/nacs/RBB01","Royal National Hospital For Rheumatic Diseases","BA1 1RL","http://nhs.publishmydata.com/data/metric/96/year/2016/RBB01","http://nhs.publishmydata.com/data/metric/96",0.9741,"http://nhs.publishmydata.com/data/metric/182/year/2016/RBB01","http://nhs.publishmydata.com/data/metric/182",75
"BA128QS",-2.18170961851546,51.2066992380324,114724,"BA12 8QS","http://nhs.publishmydata.com/id/organisation/nacs/RN3C5","Warminster Community Hospital","BA12 8QS","http://nhs.publishmydata.com/data/metric/96/year/2016/RN3C5","http://nhs.publishmydata.com/data/metric/96",0.9466,"http://nhs.publishmydata.com/data/metric/182/year/2016/RN3C5","http://nhs.publishmydata.com/data/metric/182",70
"BA13NG",-2.39121635109446,51.3916620614208,110904,"BA1  3NG","http://nhs.publishmydata.com/id/organisation/nacs/RD130","Royal United Hospital","BA1 3NG","http://nhs.publishmydata.com/data/metric/96/year/2016/RD130","http://nhs.publishmydata.com/data/metric/96",0.9741,"http://nhs.publishmydata.com/data/metric/182/year/2016/RD130","http://nhs.publishmydata.com/data/metric/182",75
"BA148PH",-2.20987867196081,51.3252921122712,117083,"BA14 8PH","http://nhs.publishmydata.com/id/organisation/nacs/RN334","Trowbridge Community Hospital","BA14 8PH","http://nhs.publishmydata.com/data/metric/96/year/2016/RN334","http://nhs.publishmydata.com/data/metric/96",0.9466,"http://nhs.publishmydata.com/data/metric/182/year/2016/RN334","http://nhs.publishmydata.com/data/metric/182",70
"BA214AT",-2.63471263001935,50.9448354962323,122339,"BA21 4AT","http://nhs.publishmydata.com/id/organisation/nacs/RA430","Yeovil District Hospital","BA21 4AT","http://nhs.publishmydata.com/data/metric/96/year/2016/RA430","http://nhs.publishmydata.com/data/metric/96",1.0184,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA430","http://nhs.publishmydata.com/data/metric/182",68
"BB102PQ",-2.22787992848512,53.8104378374645,131538,"BB10 2PQ","http://nhs.publishmydata.com/id/organisation/nacs/RXR10","Burnley General Hospital","BB10 2PQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RXR10","http://nhs.publishmydata.com/data/metric/96",1.0635,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXR10","http://nhs.publishmydata.com/data/metric/182",69
"BB23HH",-2.46271434647164,53.735574893405,135954,"BB2  3HH","http://nhs.publishmydata.com/id/organisation/nacs/RXR20","Royal Blackburn Hospital","BB2 3HH","http://nhs.publishmydata.com/data/metric/96/year/2016/RXR20","http://nhs.publishmydata.com/data/metric/96",1.0635,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXR20","http://nhs.publishmydata.com/data/metric/182",69
"BB56AS",-2.3669207337694,53.7595987222138,141920,"BB5  6AS","http://nhs.publishmydata.com/id/organisation/nacs/RXR60","Accrington Victoria Hospital","BB5 6AS","http://nhs.publishmydata.com/data/metric/96/year/2016/RXR60","http://nhs.publishmydata.com/data/metric/96",1.0635,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXR60","http://nhs.publishmydata.com/data/metric/182",69
"BB74JX",-2.36601392526202,53.8852972374024,143823,"BB7  4JX","http://nhs.publishmydata.com/id/organisation/nacs/RXR70","Clitheroe Community Hospital","BB7 4JX","http://nhs.publishmydata.com/data/metric/96/year/2016/RXR70","http://nhs.publishmydata.com/data/metric/96",1.0635,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXR70","http://nhs.publishmydata.com/data/metric/182",69
"BB99SZ",-2.21399906021342,53.8369958073121,147553,"BB9  9SZ","http://nhs.publishmydata.com/id/organisation/nacs/RXR50","Pendle Community Hospital","BB9 9SZ","http://nhs.publishmydata.com/data/metric/96/year/2016/RXR50","http://nhs.publishmydata.com/data/metric/96",1.0635,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXR50","http://nhs.publishmydata.com/data/metric/182",69
"BD100JE",-1.7124009590645,53.8236316669417,149275,"BD10 0JE","http://nhs.publishmydata.com/id/organisation/nacs/RAE4H","Eccleshill Community Hospital","BD10 0JE","http://nhs.publishmydata.com/data/metric/96/year/2016/RAE4H","http://nhs.publishmydata.com/data/metric/96",0.9465,"http://nhs.publishmydata.com/data/metric/182/year/2016/RAE4H","http://nhs.publishmydata.com/data/metric/182",66
"BD183LT",-1.78628423362525,53.8334476140828,155539,"BD18 3LT","http://nhs.publishmydata.com/id/organisation/nacs/RAE2H","Shipley Hospital","BD18 3LT","http://nhs.publishmydata.com/data/metric/96/year/2016/RAE2H","http://nhs.publishmydata.com/data/metric/96",0.9465,"http://nhs.publishmydata.com/data/metric/182/year/2016/RAE2H","http://nhs.publishmydata.com/data/metric/182",66
"BD206TD",-1.96269789104044,53.8980290060559,158561,"BD20 6TD","http://nhs.publishmydata.com/id/organisation/nacs/RCF22","Airedale General Hospital","BD20 6TD","http://nhs.publishmydata.com/data/metric/96/year/2016/RCF22","http://nhs.publishmydata.com/data/metric/96",0.9074,"http://nhs.publishmydata.com/data/metric/182/year/2016/RCF22","http://nhs.publishmydata.com/data/metric/182",76
"BD232RJ",-2.01901652559721,53.9557077541268,162384,"BD23 2RJ","http://nhs.publishmydata.com/id/organisation/nacs/RCF31","Skipton General Hospital","BD23 2RJ","http://nhs.publishmydata.com/data/metric/96/year/2016/RCF31","http://nhs.publishmydata.com/data/metric/96",0.9074,"http://nhs.publishmydata.com/data/metric/182/year/2016/RCF31","http://nhs.publishmydata.com/data/metric/182",76
"BD240BN",-2.2922106799796,54.0695580625948,163617,"BD24 0BN","http://nhs.publishmydata.com/id/organisation/nacs/RCF30","Castleberg Hospital","BD24 0BN","http://nhs.publishmydata.com/data/metric/96/year/2016/RCF30","http://nhs.publishmydata.com/data/metric/96",0.9074,"http://nhs.publishmydata.com/data/metric/182/year/2016/RCF30","http://nhs.publishmydata.com/data/metric/182",76
"BD50NA",-1.76099597623208,53.7834988321966,166246,"BD5  0NA","http://nhs.publishmydata.com/id/organisation/nacs/RAE05","St Lukes Hospital","BD5 0NA","http://nhs.publishmydata.com/data/metric/96/year/2016/RAE05","http://nhs.publishmydata.com/data/metric/96",0.9465,"http://nhs.publishmydata.com/data/metric/182/year/2016/RAE05","http://nhs.publishmydata.com/data/metric/182",66
"BD88RA",-1.77624364431955,53.8073102796868,169557,"BD8  8RA","http://nhs.publishmydata.com/id/organisation/nacs/RAE5H","Westbourne Green Community Hospital","BD8 8RA","http://nhs.publishmydata.com/data/metric/96/year/2016/RAE5H","http://nhs.publishmydata.com/data/metric/96",0.9465,"http://nhs.publishmydata.com/data/metric/182/year/2016/RAE5H","http://nhs.publishmydata.com/data/metric/182",66
"BD96RJ",-1.79469979601992,53.8059949465912,170485,"BD9  6RJ","http://nhs.publishmydata.com/id/organisation/nacs/RAE01","Bradford Royal Infirmary","BD9 6RJ","http://nhs.publishmydata.com/data/metric/96/year/2016/RAE01","http://nhs.publishmydata.com/data/metric/96",0.9465,"http://nhs.publishmydata.com/data/metric/182/year/2016/RAE01","http://nhs.publishmydata.com/data/metric/182",66
"BH152JB",-1.97310958338798,50.7219772755431,176184,"BH15 2JB","http://nhs.publishmydata.com/id/organisation/nacs/RD304","Poole Hospital","BH15 2JB","http://nhs.publishmydata.com/data/metric/96/year/2016/RD304","http://nhs.publishmydata.com/data/metric/96",0.9172,"http://nhs.publishmydata.com/data/metric/182/year/2016/RD304","http://nhs.publishmydata.com/data/metric/182",81
"BH232JX",-1.79014801609469,50.7451547971225,184085,"BH23 2JX","http://nhs.publishmydata.com/id/organisation/nacs/RDZ05","Christchurch Hospital","BH23 2JX","http://nhs.publishmydata.com/data/metric/96/year/2016/RDZ05","http://nhs.publishmydata.com/data/metric/96",0.9843,"http://nhs.publishmydata.com/data/metric/182/year/2016/RDZ05","http://nhs.publishmydata.com/data/metric/182",75
"BH77DW",-1.82051215765579,50.7474717968286,190463,"BH7  7DW","http://nhs.publishmydata.com/id/organisation/nacs/RDZ20","Royal Bournemouth General Hospital","BH7 7DW","http://nhs.publishmydata.com/data/metric/96/year/2016/RDZ20","http://nhs.publishmydata.com/data/metric/96",0.9843,"http://nhs.publishmydata.com/data/metric/182/year/2016/RDZ20","http://nhs.publishmydata.com/data/metric/182",75
"BL40JR",-2.42989131564929,53.5539732871402,199211,"BL4  0JR","http://nhs.publishmydata.com/id/organisation/nacs/RMC01","Royal Bolton Hospital","BL4 0JR","http://nhs.publishmydata.com/data/metric/96/year/2016/RMC01","http://nhs.publishmydata.com/data/metric/96",1.045,"http://nhs.publishmydata.com/data/metric/182/year/2016/RMC01","http://nhs.publishmydata.com/data/metric/182",73
"BL97TD",-2.25562001891642,53.6004391563671,205455,"BL9  7TD","http://nhs.publishmydata.com/id/organisation/nacs/RW601","Fairfield General Hospital","BL9 7TD","http://nhs.publishmydata.com/data/metric/96/year/2016/RW601","http://nhs.publishmydata.com/data/metric/96",1.0796,"http://nhs.publishmydata.com/data/metric/182/year/2016/RW601","http://nhs.publishmydata.com/data/metric/182",57
"BN112DH",-0.363403734159835,50.8166834797355,209959,"BN11 2DH","http://nhs.publishmydata.com/id/organisation/nacs/RYR18","Worthing Hospital","BN11 2DH","http://nhs.publishmydata.com/data/metric/96/year/2016/RYR18","http://nhs.publishmydata.com/data/metric/96",1.0127,"http://nhs.publishmydata.com/data/metric/182/year/2016/RYR18","http://nhs.publishmydata.com/data/metric/182",73
"BN212UD",0.271135870592943,50.786963593242,222225,"BN21 2UD","http://nhs.publishmydata.com/id/organisation/nacs/RXC02","Eastbourne District General Hospital","BN21 2UD","http://nhs.publishmydata.com/data/metric/96/year/2016/RXC02","http://nhs.publishmydata.com/data/metric/96",1.1352,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXC02","http://nhs.publishmydata.com/data/metric/182",54
"BN23EW",-0.11544877908784,50.8304538164164,218938,"BN2  3EW","http://nhs.publishmydata.com/id/organisation/nacs/RXH05","Brighton General Hospital","BN2 3EW","http://nhs.publishmydata.com/data/metric/96/year/2016/RXH05","http://nhs.publishmydata.com/data/metric/96",0.9583,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXH05","http://nhs.publishmydata.com/data/metric/182",59
"BN25BE",-0.118148731881953,50.8194623095954,219493,"BN2  5BE","http://nhs.publishmydata.com/id/organisation/nacs/RXH01","Royal Sussex County Hospital","BN2 5BE","http://nhs.publishmydata.com/data/metric/96/year/2016/RXH01","http://nhs.publishmydata.com/data/metric/96",0.9583,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXH01","http://nhs.publishmydata.com/data/metric/182",59
"BN25BE",-0.118148731881953,50.8194623095954,219493,"BN2  5BE","http://nhs.publishmydata.com/id/organisation/nacs/RXH06","Royal Alexandra Children's Hospital","BN2 5BE","http://nhs.publishmydata.com/data/metric/96/year/2016/RXH06","http://nhs.publishmydata.com/data/metric/96",0.9583,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXH06","http://nhs.publishmydata.com/data/metric/182",59
"BN25BF",-0.117607958601716,50.8187880646922,219494,"BN2  5BF","http://nhs.publishmydata.com/id/organisation/nacs/RXH07","Sussex Eye Hospital","BN2 5BF","http://nhs.publishmydata.com/data/metric/96/year/2016/RXH07","http://nhs.publishmydata.com/data/metric/96",0.9583,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXH07","http://nhs.publishmydata.com/data/metric/182",59
"BN436TQ",-0.256119207194999,50.840752361545,234072,"BN43 6TQ","http://nhs.publishmydata.com/id/organisation/nacs/RYR14","Southlands Hospital","BN43 6TQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RYR14","http://nhs.publishmydata.com/data/metric/96",1.0127,"http://nhs.publishmydata.com/data/metric/182/year/2016/RYR14","http://nhs.publishmydata.com/data/metric/182",73
"BN71PE",-0.005504066306945,50.8751501580682,237066,"BN7  1PE","http://nhs.publishmydata.com/id/organisation/nacs/RXCLV","Lewes Victoria Hospital","BN7 1PE","http://nhs.publishmydata.com/data/metric/96/year/2016/RXCLV","http://nhs.publishmydata.com/data/metric/96",1.1352,"http://nhs.publishmydata.com/data/metric/182/year/2016/RXCLV","http://nhs.publishmydata.com/data/metric/182",54
"BR68ND",0.059173704129422,51.3662443682214,248872,"BR6  8ND","http://nhs.publishmydata.com/id/organisation/nacs/RJZ30","Princess Royal University Hospital","BR6 8ND","http://nhs.publishmydata.com/data/metric/96/year/2016/RJZ30","http://nhs.publishmydata.com/data/metric/96",0.8709,"http://nhs.publishmydata.com/data/metric/182/year/2016/RJZ30","http://nhs.publishmydata.com/data/metric/182",69
"BR69JU",0.095176681057747,51.3625034693003,249101,"BR6  9JU","http://nhs.publishmydata.com/id/organisation/nacs/RJZ70","Orpington Hospital","BR6 9JU","http://nhs.publishmydata.com/data/metric/96/year/2016/RJZ70","http://nhs.publishmydata.com/data/metric/96",0.8709,"http://nhs.publishmydata.com/data/metric/182/year/2016/RJZ70","http://nhs.publishmydata.com/data/metric/182",69
"BS105NB",-2.59296371627521,51.4972685458542,252578,"BS10 5NB","http://nhs.publishmydata.com/id/organisation/nacs/RVJ01","Southmead Hospital","BS10 5NB","http://nhs.publishmydata.com/data/metric/96/year/2016/RVJ01","http://nhs.publishmydata.com/data/metric/96",0.9017,"http://nhs.publishmydata.com/data/metric/182/year/2016/RVJ01","http://nhs.publishmydata.com/data/metric/182",64
"BS12LX",-2.59454716220625,51.4584346555225,251051,"BS1  2LX","http://nhs.publishmydata.com/id/organisation/nacs/RA708","Bristol Eye Hospital","BS1 2LX","http://nhs.publishmydata.com/data/metric/96/year/2016/RA708","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA708","http://nhs.publishmydata.com/data/metric/182",77
"BS12LY",-2.59519716904348,51.4586111899478,251052,"BS1  2LY","http://nhs.publishmydata.com/id/organisation/nacs/RA709","University Of Bristol Dental Hospital","BS1 2LY","http://nhs.publishmydata.com/data/metric/96/year/2016/RA709","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA709","http://nhs.publishmydata.com/data/metric/182",77
"BS140DB",-2.58494331872344,51.4109889627724,256833,"BS14 0DB","http://nhs.publishmydata.com/id/organisation/nacs/RA773","South Bristol Community Hospital","BS14 0DB","http://nhs.publishmydata.com/data/metric/96/year/2016/RA773","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA773","http://nhs.publishmydata.com/data/metric/182",77
"BS151LF",-2.51612034930196,51.4688856568809,257692,"BS15 1LF","http://nhs.publishmydata.com/id/organisation/nacs/RVJ21","Cossham Hospital","BS15 1LF","http://nhs.publishmydata.com/data/metric/96/year/2016/RVJ21","http://nhs.publishmydata.com/data/metric/96",0.9017,"http://nhs.publishmydata.com/data/metric/182/year/2016/RVJ21","http://nhs.publishmydata.com/data/metric/182",64
"BS161LE",-2.52886351366769,51.4964602945093,260216,"BS16 1LE","http://nhs.publishmydata.com/id/organisation/nacs/RVJ20","Frenchay Hospital","BS16 1LE","http://nhs.publishmydata.com/data/metric/96/year/2016/RVJ20","http://nhs.publishmydata.com/data/metric/96",0.9017,"http://nhs.publishmydata.com/data/metric/182/year/2016/RVJ20","http://nhs.publishmydata.com/data/metric/182",64
"BS234TQ",-2.9714050086643,51.3223309514274,273331,"BS23 4TQ","http://nhs.publishmydata.com/id/organisation/nacs/RA301","Weston General Hospital","BS23 4TQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RA301","http://nhs.publishmydata.com/data/metric/96",1.1674,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA301","http://nhs.publishmydata.com/data/metric/182",56
"BS28BJ",-2.59733052729601,51.4577460807249,267767,"BS2  8BJ","http://nhs.publishmydata.com/id/organisation/nacs/RA723","Bristol Royal Hospital For Children","BS2 8BJ","http://nhs.publishmydata.com/data/metric/96/year/2016/RA723","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA723","http://nhs.publishmydata.com/data/metric/182",77
"BS28EG",-2.59939251782824,51.4591292913536,267804,"BS2  8EG","http://nhs.publishmydata.com/id/organisation/nacs/RA707","St Michael's Hospital","BS2 8EG","http://nhs.publishmydata.com/data/metric/96/year/2016/RA707","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA707","http://nhs.publishmydata.com/data/metric/182",77
"BS28HW",-2.59478680048213,51.4591527952419,267838,"BS2  8HW","http://nhs.publishmydata.com/id/organisation/nacs/RA701","Bristol Royal Infirmary","BS2 8HW","http://nhs.publishmydata.com/data/metric/96/year/2016/RA701","http://nhs.publishmydata.com/data/metric/96",0.9774,"http://nhs.publishmydata.com/data/metric/182/year/2016/RA701","http://nhs.publishmydata.com/data/metric/182",77
"BS397SB",-2.4932967790788,51.2986689903711,283711,"BS39 7SB","http://nhs.publishmydata.com/id/organisation/nacs/RD129","Paulton Hospital","BS39 7SB","http://nhs.publishmydata.com/data/metric/96/year/2016/RD129","http://nhs.publishmydata.com/data/metric/96",0.9741,"http://nhs.publishmydata.com/data/metric/182/year/2016/RD129","http://nhs.publishmydata.com/data/metric/182",75
"CA27HY",-2.95529849207452,54.8957511806116,363869,"CA2  7HY","http://nhs.publishmydata.com/id/organisation/nacs/RNLAY","Cumberland Infirmary","CA2 7HY","http://nhs.publishmydata.com/data/metric/96/year/2016/RNLAY","http://nhs.publishmydata.com/data/metric/96",1.0121,"http://nhs.publishmydata.com/data/metric/182/year/2016/RNLAY","http://nhs.publishmydata.com/data/metric/182",52
"CA288JG",-3.5631756231599,54.5302041047679,365884,"CA28 8JG","http://nhs.publishmydata.com/id/organisation/nacs/RNLBX","West Cumberland Hospital","CA28 8JG","http://nhs.publishmydata.com/data/metric/96/year/2016/RNLBX","http://nhs.publishmydata.com/data/metric/96",1.0121,"http://nhs.publishmydata.com/data/metric/182/year/2016/RNLBX","http://nhs.publishmydata.com/data/metric/182",52
"CB113HY",0.256305460508814,52.0236001054304,375460,"CB11 3HY","http://nhs.publishmydata.com/id/organisation/nacs/RGT50","Saffron Walden Community Hospital","CB11 3HY","http://nhs.publishmydata.com/data/metric/96/year/2016/RGT50","http://nhs.publishmydata.com/data/metric/96",0.8363,"http://nhs.publishmydata.com/data/metric/182/year/2016/RGT50","http://nhs.publishmydata.com/data/metric/182",82
"CB20QQ",0.139142627560421,52.1737533166629,376040,"CB2  0QQ","http://nhs.publishmydata.com/id/organisation/nacs/RGT01","Addenbrooke's","CB2 0QQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RGT01","http://nhs.publishmydata.com/data/metric/96",0.8363,"http://nhs.publishmydata.com/data/metric/182/year/2016/RGT01","http://nhs.publishmydata.com/data/metric/182",82
"CB20QQ",0.139142627560421,52.1737533166629,376040,"CB2  0QQ","http://nhs.publishmydata.com/id/organisation/nacs/RGT32","Rosie Hospital","CB2 0QQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RGT32","http://nhs.publishmydata.com/data/metric/96",0.8363,"http://nhs.publishmydata.com/data/metric/182/year/2016/RGT32","http://nhs.publishmydata.com/data/metric/182",82
"CH21HJ",-2.89902552203598,53.2117827212424,434348,"CH2  1HJ","http://nhs.publishmydata.com/id/organisation/nacs/RJR05","Countess Of Chester Hospital","CH2 1HJ","http://nhs.publishmydata.com/data/metric/96/year/2016/RJR05","http://nhs.publishmydata.com/data/metric/96",1.0527,"http://nhs.publishmydata.com/data/metric/182/year/2016/RJR05","http://nhs.publishmydata.com/data/metric/182",74
"CH420LQ",-3.02653044536313,53.3800457326834,439553,"CH42 0LQ","http://nhs.publishmydata.com/id/organisation/nacs/RBL01","St. Catherines Hospital","CH42 0LQ","http://nhs.publishmydata.com/data/metric/96/year/2016/RBL01","http://nhs.publishmydata.com/data/metric/96",0.9834,"http://nhs.publishmydata.com/data/metric/182/year/2016/RBL01","http://nhs.publishmydata.com/data/metric/182",66
"CH445UF",-3.04588966841482,53.4161126873915,441871,"CH44 5UF","http://nhs.publishmydata.com/id/organisation/nacs/RBL02","Victoria Central Hospital","CH44 5UF","http://nhs.publishmydata.com/data/metric/96/year/2016/RBL02","http://nhs.publishmydata.com/data/metric/96",0.9834,"http://nhs.publishmydata.com/data/metric/182/year/2016/RBL02","http://nhs.publishmydata.com/data/metric/182",66
"CH495PE",-3.0968145214351,53.3696398780642,445402,"CH49 5PE","http://nhs.publishmydata.com/id/organisation/nacs/RBL14","Arrowe Park Hospital","CH49 5PE","http://nhs.publishmydata.com/data/metric/96/year/2016/RBL14","http://nhs.publishmydata.com/data/metric/96",0.9834,"http://nhs.publishmydata.com/data/metric/182/year/2016/RBL14","http://nhs.publishmydata.com/data/metric/182",66
"CH634JY",-3.02413621893301,53.3329001310555,450012,"CH63 4JY","http://nhs.publishmydata.com/id/organisation/nacs/RBL20","Clatterbridge Hospital","CH63 4JY","http://nhs.publishmydata.com/data/metric/96/year/2016/RBL20","http://nhs.publishmydata.com/data/metric/96",0.9834,"http://nhs.publishmydata.com/data/metric/182/year/2016/RBL20","http://nhs.publishmydata.com/data/metric/182",66
"CH656SG",-2.91103952864597,53.2677928070423,451817,"CH65 6SG","http://nhs.publishmydata.com/id/organisation/nacs/RJR60","Ellesmere Port Hospital","CH65 6SG","http://nhs.publishmydata.com/data/metric/96/year/2016/RJR60","http://nhs.publishmydata.com/data/metric/96",1.0527,"http://nhs.publishmydata.com/data/metric/182/year/2016/RJR60","http://nhs.publishmydata.com/data/metric/182",74
